COLLEGES;CLASSES;EFF_G;EFF_F;EFF_T;PRES_G;PRES_F;PRES_T;MOY_MAX_F;MOY_MAX_G;MOY_MIN_F;MOY_MIN_G;inf_6.5_G;inf_6.5_F;inf_6.5_T;6.5_7.5_G;6.5_7.5_F;6.5_7.5_T;7.5_9_G;7.5_9_F;7.5_9_T;9_10_G;9_10_F;9_10_T;10_12_G;10_12_F;10_12_T;12_14_G;12_14_F;12_14_T;14_16_G;14_16_F;14_16_T;sup_16_G;sup_16_F;sup_16_T;;;;
CPEG CHAMPAGNAT;Tle C;2;1;3;2;1;3;13.07;11.55;12.43;11.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;33.3;100.0;0.0;66.7;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG CHAMPAGNAT;Tle D;7;9;16;7;9;16;12.86;10.74;7.61;7.74;0.0;0.0;0.0;0.0;0.0;0.0;42.9;55.6;50.0;28.6;11.1;18.8;0.0;33.3;18.8;28.6;0.0;12.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG CHAMPAGNAT;Cycle 2;26;43;69;26;43;69;13.9;16.45;7.61;7.74;0.0;0.0;0.0;0.0;0.0;0.0;15.4;18.6;17.4;11.5;23.3;18.8;42.3;39.5;40.6;30.8;11.6;18.8;0.0;4.7;2.9;0.0;2.3;1.4;;;;
CPEG CITE DE LA REUSSITE;6e;7;10;17;7;10;17;13.75;16.02;9.72;10.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.3;0.0;5.9;28.6;20.0;23.5;57.1;70.0;64.7;0.0;0.0;0.0;0.0;10.0;5.9;;;;
CPEG CITE DE LA REUSSITE;5e;6;4;10;4;4;8;14.81;13.89;11.61;10.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;75.0;50.0;50.0;25.0;37.5;25.0;0.0;12.5;0.0;0.0;0.0;;;;
CPEG CITE DE LA REUSSITE;4e;13;11;24;12;8;20;16.71;13.79;7.48;8.3;0.0;0.0;0.0;8.3;0.0;5.0;8.3;12.5;10.0;16.7;0.0;10.0;41.7;37.5;40.0;16.7;50.0;30.0;0.0;0.0;0.0;8.3;0.0;5.0;;;;
CPEG CITE DE LA REUSSITE;3e;8;9;17;8;9;17;12.61;13.12;7.77;7.23;0.0;0.0;0.0;0.0;11.1;5.9;25.0;33.3;29.4;25.0;22.2;23.5;37.5;11.1;23.5;12.5;22.2;17.6;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG CITE DE LA REUSSITE;Cycle 1;34;34;68;31;31;62;16.71;16.02;7.48;7.23;0.0;0.0;0.0;3.2;3.2;3.2;9.7;12.9;11.3;16.1;6.5;11.3;35.5;29.0;32.3;29.0;45.2;37.1;3.2;0.0;1.6;3.2;3.2;3.2;;;;
CPEG CITE DE LA REUSSITE;2nde A2;1;1;2;1;0;1;14.37;0;14.37;0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;100.0;;100.0;0.0;;0.0;;;;
CPEG CITE DE LA REUSSITE;2nde D;0;1;1;0;1;1;;14.53;;14.53;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;100.0;100.0;;0.0;0.0;;;;
